,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,,,,,,,,,2RS1,2RSH,,,,,,,,,,,,,,
1,,,,,,,2Z,,,,,,,,,,,,,,,,,,
2,,Principal dimensions,,,Basic load ratings,Fatigue,Speed ratings,,Mass,,Designations,,,,,,,,,,,,,,
3,,,,dynamic,static,load limit,Reference,Limiting,,,Bearing,,,,,,,,,,,,,,
4,,,,,,,speed,speed1),,,open or capped,capped on one,,,,,,,,,,,,,
5,d,D,B,C,C0,Pu,,,,,on both sides,side1),,,≈,≈,≈,≈,min,min,max,max,max,,
6,mm,,,kN,,kN,r/min,,kg,,–,,,mm,,,,,,mm,,,,–,
102,,30,14,"5,07","2,36","0,1",–,17 000,"0,04",,62200-2RS1,,–,,17,–,–,"24,8","0,6","14,2","16,9","25,8","0,6",25,13
103,,35,11,"8,52","3,4",143,50 000,32 000,53,▶,6300,,–,,"17,5",–,–,"28,7","0,6","14,2",–,"30,8","0,6","0,03",11
104,,35,11,"8,52","3,4",143,–,15 000,54,▶,6300-2RSH,,6300-RSH,,–,"15,5",–,"28,7","0,6","14,2","15,5","30,8","0,6","0,03",11
105,,35,11,"8,52","3,4",143,50 000,26 000,53,,6300-2RSL,,6300-RSL,,–,"15,5",–,"28,7","0,6","14,2","15,5","30,8","0,6","0,03",11
106,,35,11,"8,52","3,4",143,50 000,26 000,55,▶,6300-2Z,,6300-Z,,"17,5",–,–,"28,7","0,6","14,2","17,4","30,8","0,6","0,03",11
107,,35,17,"8,06","3,4",143,–,15 000,"0,06",,62300-2RS1,,–,,"17,5",–,–,"28,7","0,6","14,2","17,4","30,8","0,6","0,03",11
108,12,21,5,"1,74",915,39,–,20 000,"0,0063",▶,61801-2RS1,–,,12,–,"14,1",–,19,"0,3","13,6","13,8",19,"0,3",15,13
109,,21,5,"1,74",915,39,70 000,36 000,"0,0063",▶,61801-2Z,–,,,"14,8",–,–,19,"0,3",14,"14,7",19,"0,3",15,13
110,,21,5,"1,74",915,39,70 000,43 000,"0,0063",▶,61801,–,,,"14,8",–,"18,3",–,"0,3",14,–,19,"0,3",15,13
111,,24,6,"2,91","1,46",62,–,19 000,11,▶,61901-2RS1,–,,,–,"15,3",–,"21,4","0,3",14,"15,2",22,"0,3","0,02",15
112,,24,6,"2,91","1,46",62,67 000,32 000,11,▶,61901-2Z,–,,,16,–,–,"21,4","0,3",14,"15,8",22,"0,3","0,02",15
113,,24,6,"2,91","1,46",62,67 000,40 000,11,▶,61901,–,,,16,–,"20,3",–,"0,3",14,–,22,"0,3","0,02",15
114,,28,8,"5,4","2,36","0,1",60 000,38 000,21,▶,6001,–,,,17,–,–,"24,8","0,3",14,–,26,"0,3",25,13
115,,28,8,"5,4","2,36","0,1",–,17 000,22,▶,6001-2RSH,6001-RSH,,,–,"14,7",–,"24,8","0,3",14,15,26,"0,3",25,13
116,,28,8,"5,4","2,36","0,1",60 000,30 000,21,▶,6001-2RSL,6001-RSL,,,–,"14,7",–,"24,8","0,3",14,15,26,"0,3",25,13
117,,28,8,"5,4","2,36","0,1",60 000,30 000,22,▶,6001-2Z,6001-Z,,,17,–,–,"24,8","0,3",14,"16,9",26,"0,3",25,13
118,,28,12,"5,07","2,36","0,1",–,17 000,29,,63001-2RS1,–,,,17,–,–,"24,8","0,3",14,"16,9",26,"0,3",25,13
119,,30,8,"5,07","2,36","0,1",–,17 000,28,,16101-2RS1,–,,,17,–,–,"24,8","0,3","14,4","16,6","27,6","0,3",25,13
120,,30,8,"5,07","2,36","0,1",56 000,28 000,28,,16101-2Z,–,,,17,–,–,"24,8","0,3","14,4","16,6","27,6","0,3",25,13
121,,30,8,"5,07","2,36","0,1",60 000,38 000,26,,16101,–,,,17,–,–,"24,8","0,3","14,4",–,"27,6","0,3",25,13
122,,32,10,"7,28","3,1",132,50 000,32 000,37,▶,6201,–,,,"18,4",–,–,"27,4","0,6","16,2",–,"27,8","0,6",25,12
123,,32,10,"7,28","3,1",132,–,15 000,38,▶,6201-2RSH,6201-RSH,,,–,"16,2",–,"27,4","0,6","16,2","16,5","27,8","0,6",25,12
124,,32,10,"7,28","3,1",132,50 000,26 000,38,▶,6201-2RSL,6201-RSL,,,–,"16,2",–,"27,4","0,6","16,2","16,5","27,8","0,6",25,12
125,,32,10,"7,28","3,1",132,50 000,26 000,39,▶,6201-2Z,6201-Z,,,"18,4",–,–,"27,4","0,6","16,2","18,4","27,8","0,6",25,12
126,,32,14,"6,89","3,1",132,–,15 000,45,,62201-2RS1,–,,,"18,5",–,–,"27,4","0,6","16,2","18,4","27,8","0,6",25,12
127,,37,12,"10,1","4,15",176,45 000,28 000,"0,06",▶,6301,–,,,"19,5",–,–,"31,5",1,"17,6",–,"31,4",1,"0,03",11
128,,37,12,"10,1","4,15",176,–,14 000,62,▶,6301-2RSH,6301-RSH,,,–,"17,5",–,"31,5",1,"17,6","17,8","31,4",1,"0,03",11
129,,37,12,"10,1","4,15",176,45 000,22 000,"0,06",,6301-2RSL,6301-RSL,,,–,"17,5",–,"31,5",1,"17,6","17,6","31,4",1,"0,03",11
130,,37,12,"10,1","4,15",176,45 000,22 000,63,▶,6301-2Z,6301-Z,,,"19,5",–,–,"31,5",1,"17,6","19,4","31,4",1,"0,03",11
131,,37,17,"9,75","4,15",176,–,14 000,"0,07",,62301-2RS1,–,,,"19,5",–,–,"31,5",1,"17,6","19,4","31,4",1,"0,03",11
132,15,24,5,"1,9","1,1",48,–,17 000,"0,0074",▶,61802-2RS1,–,,15,"17,8",–,–,"22,2","0,3",17,"17,8",22,"0,3",15,14
133,,24,5,"1,9","1,1",48,60 000,30 000,"0,0074",▶,61802-2Z,–,,,"17,8",–,–,"22,2","0,3",17,"17,8",22,"0,3",15,14
134,,24,5,"1,9","1,1",48,60 000,38 000,"0,0065",▶,61802,–,,,"17,8",–,"21,3",–,"0,3",17,–,22,"0,3",15,14
135,,28,7,"4,36","2,24",95,–,16 000,16,▶,61902-2RS1,–,,,"18,8",–,–,"25,3","0,3",17,"18,3",26,"0,3","0,02",14
136,,28,7,"4,36","2,24",95,56 000,28 000,16,▶,61902-2RZ,–,,,"18,8",–,–,"25,3","0,3",17,"18,3",26,"0,3","0,02",14
137,,28,7,"4,36","2,24",95,56 000,28 000,16,▶,61902-2Z,–,,,"18,8",–,–,"25,3","0,3",17,"18,3",26,"0,3","0,02",14
138,,28,7,"4,36","2,24",95,56 000,34 000,16,▶,61902,–,,,"18,8",–,–,"25,3","0,3",17,–,26,"0,3","0,02",14
139,,32,8,"5,85","2,85","0,12",50 000,32 000,27,▶,16002,–,,,"20,5",–,–,"28,2","0,3",17,–,30,"0,3","0,02",14
140,,32,8,"5,85","2,85","0,12",50 000,26 000,25,▶,16002-2Z,16002-Z,,,"20,5",–,–,"28,2","0,3",17,"20,1",30,"0,3","0,02",14
141,,32,9,"5,85","2,85","0,12",50 000,32 000,"0,03",▶,6002,–,,,"20,5",–,–,"28,2","0,3",17,–,30,"0,3",25,14
142,,32,9,"5,85","2,85","0,12",–,14 000,"0,03",▶,6002-2RSH,6002-RSH,,,–,"18,3",–,"28,2","0,3",17,"18,5",30,"0,3",25,14
143,,32,9,"5,85","2,85","0,12",50 000,26 000,"0,03",▶,6002-2RSL,6002-RSL,,,–,"18,3",–,"28,2","0,3",17,"18,5",30,"0,3",25,14
144,15,32,9,"5,85","2,85","0,12",50 000,26 000,32,▶,6002-2Z,6002-Z,,15,"20,5",–,–,"28,2","0,3",17,"20,4",30,"0,3",25,14
145,cont,32,13,"5,59","2,85","0,12",–,14 000,39,,63002-2RS1,–,,cont,"20,5",–,–,"28,2","0,3",17,"20,4",30,"0,3",25,14
146,,35,11,"8,06","3,75","0,16",43 000,28 000,45,▶,6202,–,,,"21,7",–,–,"30,5","0,6","19,2",–,"30,8","0,6",25,13
147,,35,11,"8,06","3,75","0,16",–,13 000,46,▶,6202-2RSH,6202-RSH,,,–,"18,6",–,"30,5","0,6","19,2","19,4","31,3","0,6",25,13
148,,35,11,"8,06","3,75","0,16",43 000,22 000,46,▶,6202-2RSL,6202-RSL,,,–,"18,6",–,"30,5","0,6","19,2","19,4","30,8","0,6",25,13
