,0,1,2,3,4,5,6,7,8,9,10,11,12
16,"10,1",–,–,"14,2","0,2","9,4",10,"14,6","0,2","0,015",11,,
17,–,"9,6",–,"14,2","0,2","9,4","9,5","14,6","0,2","0,015",11,,
18,–,"9,8",–,"16,7","0,3","9,5","9,8",17,"0,3","0,02","6,6",,
19,–,"9,8",–,"16,7","0,3","9,5","9,8",17,"0,3","0,02","6,6",,
20,"10,5",–,–,"16,7","0,3",10,–,17,"0,3","0,02","6,6",,
21,"11,1",–,–,"16,5","0,3",10,11,17,"0,3","0,025",13,,
22,"12,1",–,–,"19,2","0,3",10,–,20,"0,3","0,025",12,,
23,–,"10,5",–,"19,2","0,3",10,"10,5",20,"0,3","0,025",12,,
24,–,"10,5",–,"19,2","0,3",10,"10,5",20,"0,3","0,025",12,,
25,"12,1",–,–,"19,2","0,3",10,12,20,"0,3","0,025",12,,
26,"11,8",–,–,19,"0,3",10,"11,7",20,"0,3","0,025",12,,
27,"14,4",–,–,"21,2","0,3","10,4",–,"21,6","0,3","0,025",13,,
28,"14,4",–,–,"21,2","0,3","10,4","14,4","21,6","0,3","0,025",13,,
29,"14,4",–,–,"21,2","0,3","10,4","14,4","21,6","0,3","0,025",13,,
30,"14,4",–,–,"21,2","0,3","10,4","14,4","21,6","0,3","0,025",13,,
31,"14,8",–,–,"22,6","0,3","10,4","14,7","25,6","0,3","0,03",12,,
32,"11,5",–,"14,5",–,"0,2","10,4",–,"15,6","0,2","0,015","7,7",,
33,–,"10,7",–,"15,2","0,2","10,4","10,5","15,6","0,2","0,015",11,,
34,–,"10,7",–,"15,2","0,2","10,4","10,5","15,6","0,2","0,015",11,,
35,"11,6",–,–,"17,5","0,3",11,"11,5",18,"0,3","0,02",12,,
36,"11,6",–,–,"17,5","0,3",11,–,18,"0,3","0,02",12,,
37,"14,4",–,–,"21,2","0,3",11,–,22,"0,3","0,025",13,,
0,,,,,,,,,,2RS1,2RSH,,
1,,Principal dimensions,,,Basic load ratings,Fatigue,Speed ratings,,Mass,,Designations,,
2,,,,dynamic,static,load limit,Reference,Limiting,,,Bearing,,
3,,,,,,,speed,speed1),,,open or capped,,capped on one
4,d,D,B,C,C0,Pu,,,,,on both sides,,side1)
5,mm,,,kN,,kN,r/min,,kg,,–,,
6,9,24,7,"3,9","1,66","0,071",–,19 000,"0,015",▶,609-2RSH,,609-RSH
7,cont,24,7,"3,9","1,66","0,071",70 000,34 000,"0,014",▶,609-2RSL,,609-RSL
8,,24,7,"3,9","1,66","0,071",70 000,34 000,"0,015",▶,609-2Z,,609-Z
9,,26,8,"4,75","1,96","0,083",60 000,38 000,"0,02",▶,629,,–
10,,26,8,"4,75","1,96","0,083",–,19 000,"0,02",▶,629-2RSH,,629-RSH
11,,26,8,"4,75","1,96","0,083",60 000,30 000,"0,02",▶,629-2RSL,,629-RSL
12,,26,8,"4,75","1,96","0,083",60 000,30 000,"0,021",▶,629-2Z,,629-Z
13,10,19,5,"1,72","0,83","0,036",–,22 000,"0,0055",,61800-2RS1,,–
14,,19,5,"1,72","0,83","0,036",80 000,38 000,"0,0055",,61800-2Z,,–
15,,19,5,"1,72","0,83","0,036",80 000,48 000,"0,0053",,61800,,–
16,,22,6,"2,7","1,27","0,054",–,20 000,"0,01",,61900-2RS1,,–
17,,22,6,"2,7","1,27","0,054",70 000,36 000,"0,01",,61900-2Z,,–
18,,22,6,"2,7","1,27","0,054",70 000,45 000,"0,01",,61900,,–
19,,26,8,"4,75","1,96","0,083",67 000,40 000,"0,019",▶,6000,,–
20,,26,8,"4,75","1,96","0,083",–,19 000,"0,019",▶,6000-2RSH,,6000-RSH
21,,26,8,"4,75","1,96","0,083",67 000,34 000,"0,019",▶,6000-2RSL,,6000-RSL
22,,26,8,"4,75","1,96","0,083",67 000,34 000,"0,02",▶,6000-2Z,▶,6000-Z
23,,26,12,"4,62","1,96","0,083",–,19 000,"0,025",,63000-2RS1,,–
